Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Qtd_Vendidos,Preço,Marca_Cod,Material_Cod,Temporada_Cod,Marca_Freq,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Material_Freq
Pijama Cirurgico  Scrub Roupa Privativa Hospitalar - Unissex,4.0,273.0,0.0,Toronto Uniformes Profissionais,Poliéster,Sem Gênero,Não Definido,"Preço justo , bem feito acabamento ok. Única sugestão é por na calça bolso cargo com zíper e incorporar a cor bege nas opções ! já comprei mais um. Muito satisfeito ! compre sem hesitar.","Tamanho bom, costuras de qualidade, porém tecido um pouco de qualidade inferior, mas vale o preço !.","Muito bom, só poderia ter os cortes na lateral da blusa para melhor conforto (mandei cortar na costureira), porém, material muito bom! comprarei mais.",1000,69.9,781,122,1,0.0022737608003638,0.6296296296296297,0.030076016304946565,0.0,0.10064458920227824,0.12592172433352242
Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Masculina Atacado,4.5,3034.0,18.0,Lupo,Algodão,Masculino,Outono/Inverno,"As cuecas são boas; porém você percebe na costura que não são originais! já experimentei duas brancas, e o mesmo acontece com as duas, quando eu subo a cueca, ela dá um estralinho como se tivesse rasgado e quando olhei, soltou um pouco da costura de lado! tem que vestir com muito cuidado! fora isso, é uma replica muito bem feita da original! aaah. Não gostei muito do elastico de cima! é muito curtinho, queria q fosse maior. Mas resumindo: cueca bem confortavel, nao dobra e nem sobe.","Pelo preço promocional, com ctz tem algum defeito de fabricação. Pq não é normal furar a cueca na imenda na primeira vez que vc usa. Infelizmente isso aconteceu comigo e não foi só com uma cueca e sim com 3 unidades. Agora eu não sei o que é pior, perder 16 reais do valor da cueca usando ela apenas algumas horas ou ficar com a cueca furada no trabalho.","Serviram muito bem, porém é nítido que o pano não é algodão, e posso confirmar a diferença pois possuo o mesmo modelo de cuecas lupo que comprei em outra ocasião e comparando ambos os panos e costuras essa diferença fica notável.
Pelo custo beneficio e mesmo sendo um material diferente, aparenta valer a pena, porém, só o tempo (e algumas lavagens rs) irá dizer se é de qualidade.",10000,232.89,463,25,3,0.0422919508867667,0.8148148148148148,0.3342514046491131,0.2727272727272727,0.37858531427986764,0.1820760068065797
Kit Com 10 Cuecas Boxer Algodão Sem Costura Zorba 781,4.7,5682.0,20.0,Zorba,Algodão,Masculino,Não Definido,"O tecido é bom e são confortáveis. Só que a numeração não é precisa, visto 40 então tentei comprar a p conforme especificado no guia de tamanho. Porém, para minha sorte não tinha mais p disponível e eu comprei m. O resultado é que caiu perfeitamente. Então uma dica é comprar um tamanho maior. Antes deixar o bicho solto do quê sem ar.","Vendo comentários de outros consumidores vejo que quanto ao tamanho realmente há problemas; tenho 1. 85 e peso 88 kg, pedi o tamanho maior disponível, gg, e ficou um pouco apertado mesmo assim. Já comprei em lojas exatamente a mesma medida e dá pra notar a diferença. Mas no geral o produto é bom, só atentem para o tamanho.","Produto não é nem de longe original, tecido grosso e com pouco elastano.",50000,199.9,838,25,1,0.0090950432014552,0.888888888888889,0.6259777459513055,0.30303030303030304,0.3223287063879131,0.1820760068065797
Kit 10 Cuecas Boxer Mash Algodão Cotton Box Original Oferta,4.6,1700.0,22.0,Mash,Algodão,Masculino,Primavera/Verão,"As cuecas são boas, porém meu marido usa g e pedir gg por causa dos outros comentários de compradores que falaram ser forma pequena. Então ficaram muito grandes!!! com certeza logo vão lacear por esse motivo. Tentar lavar a mão para evitar que fique caindo tão rápido. Recomendo a compra, porém podem pedir o tamanho correto que usam. Sem essa presepada de pedir tamanho maior. Sobre qualidade somente depois de lavar para saber ao certo!!! na próxima, pedirei o número que ele realmente usa.","E o tamanho certo, mas em baixo dela, fica muito curto, apertado demais. Aperta todos os ovos, na moral me arrependo de ter comprado. Nesse valor ainda, melhor ter comprado da lupo.","Produto não parece.
Original e veio 2 modelos completamente distintos. Costuras grosseiras, elastico parece esgarçado e com rebarbas.",10000,229.39,494,25,7,0.0109140518417462,0.8518518518518517,0.18728654841908118,0.33333333333333337,0.3726168957402544,0.1820760068065797
Kit 3 Short Jeans Feminino Cintura Alta Barato Atacado,4.4,507.0,9.0,Menina Linda,Jean,Feminino,Primavera/Verão,"Estou encantada com essas peças!.
Os shorts são lindos e super confortáveis, comprem sem medo!.","Recomendo, tecido confortável, igual a foto.","Gostei muito dos shorts, material bom, para usar no dia a dia está ótimo.",1000,129.2,509,74,7,0.0100045475216007,0.777777777777778,0.05585545885204363,0.13636363636363635,0.20176665188772552,0.021554169030062395
Blusa + Calça Térmica Treino Futebol Criança Infantil Fleece,4.7,58.0,5.0,Roupa Zero Grau,Termico Unissex,Sem Gênero Infantil,Outono/Inverno,"Produto ótimo , mesmo após várias lavagens não forma bolinha, não encolhe , não desbota.
Já tinha comprado ano passado e comprei novamente esse ano.
Minha filha tem 5 anos é magrinha, comprei o tamanho 8 e ficou folgadinho, vai usar bastante.
Meu filho de 10 anos comprei o 14 e também ficou bem folgadinho.
Podem comprar sem medo de errar. 😊.","Produto de boa qualidade.
Não gruda pêlos e nem faz bolinha.
Super quentinha.",Super quentinho. Só achei a gola muito aberta.,100,78.03,669,166,3,0.0022737608003638,0.888888888888889,0.006389776357827476,0.07575757575757576,0.11450837283857987,0.0011344299489506524
Roupa Apicultor Tirar Abelha Mel Sr Premium Antiferroada,4.5,11.0,0.0,Sr Apicultura,Poliamida,Sem Gênero,Não Definido,Um dos melhores macacões que já comprei em 18 anos de apicultura.,Muito bom excelente.,Ótimo produto.,50,460.9,731,116,1,0.0050022737608003,0.8148148148148148,0.001211854136829349,0.0,0.7674022031990724,0.02098695405558707
Kit 3 Calça Masculina Com Lycra Roupas Skinny Justa Premium,4.4,1326.0,0.0,Multimarcas,Jeans Que Estica Muito,Masculino,Primavera/Verão,"Boa tarde! as calças totalmente diferente uma da outra. Tecidos diferente. Corte diferente sendo número 40 número pedido. Não veste bem parecendo número 44.
Lamentável! não vou trocar. Ficarei com prejuízo. Mas aprendi uma grande lição. A próxima compra comprarei na loja onde posso experimentar e reclamar na hora e exigir uma melhor qualidade de tecido!.
Esse kit não indico nem para inimigo!.
Gratidão!.","Sinceramente fiquei com receio antes de comprar o produto porém estou surpreso com a qualidade e como vestiu bem. Tenho 1,81 e peso 76kg o número 40 ficou ótimo! podem comprar sem medo, irei recomendar para outras pessoas.","Uso 44 e comprei 46, e como esperado pelos comentários, a cinza ficou perfeito, e as outras duas terei de ajustar a canela na costureira, ficaram largas nas canelas, a qualidade parece ser boa, mas nada que negative minha compra, pelo preço que paguei tá dentro do esperado, resumindo, valeu o preço, apenas fiquem atentos com o tamanho, se não quizer muito agarrado pegue um numero maior que o normal igual eu fiz, mas provavelmente terá de fazer um ajuste na barra.",10000,180.15,543,85,7,0.0118235561618917,0.777777777777778,0.14608350776688334,0.0,0.2886497732000955,0.0017016449234259785
Kit Lote 6 Conjunto De Menina Roupa Infantil Feminino,4.5,1796.0,0.0,Amandika Kids,Indeterminado,Meninas,Não Definido,"Minha filha veste 8 anos(ate algumas 10 anos). Ela so tem 6, mas e alta e forte.
Comprei de 14 anos(segui as recomendações).
E sinceramente quero ate comprar mais.
Roupa de boa qualidade, pra uso no dia a dia. Os short são de uma material tipo moleton otimosss.
As blusas algumas são muito finas outras como a azul e vermelha de otima qualidade.
Em resumo superou as minhas expectativas.
Ja comprei atacado desses site que oferece no facebook e decepcionei.
Essa roupas aqui foram otimassss.
Parabéns!!.","Eu amei, comprei o tamanho 10, minha filha tem 7 anos 1. 28cm e 23kg.","Conjuntos perfeitos, todos lindos, cores, tecido. Minha dica é comprar 2 ou 3 números maior, pois achei pequenos, minha filha tem 9 anos, pesa 40 kilos, comprei tamanho 14 e ficou exatos, vai perder rápido, mais pelo preço vale muito apena, pois o material é bom é as cores e detalhes são lindos.",10000,139.9,30,178,1,0.0031832651205093,0.8148148148148148,0.1978627299768646,0.0,0.22001295999454318,0.3828701077708451
Calça Jogger Masculina Jeans Sarja Premium Elástico Lycra,4.5,11.0,0.0,Gbgsports,Sarja,Masculino,Outono/Inverno,"Top. Tô gostando, muito bom mesmo.","Muita sobras de fios, baixa qualidade nas costuras!.",Sem comentários,100,48.9,324,138,3,0.0059117780809458,0.8148148148148148,0.001211854136829349,0.0,0.06483407796459875,0.013045944412932501
Roupa Infantil Social Menino  Bebê Batizado Festa Casamento,4.8,421.0,6.0,Poderoso Baby Moda Acessórios,Indeterminado,Bebês,Não Definido,"Lindo, perfeito gostaria muito aue aqui tivesse a opcao de postar foto pra vcs terem a noção do quanto meu bebê ficou perfeito com essa roupinha.
Amei cada detalhe tudo é perfeito.","Ele tem 6 meses e a roupa de 1 ano ficou certinha, mas ele é gordinho, a blusa ficou a conta, não vai conseguir usar mais após a lavagem.",Ficou perfeito.,1000,136.59,615,178,1,0.0045475216007276,0.9259259259259259,0.046380962873195986,0.09090909090909091,0.21436854131850894,0.3828701077708451
Bermuda Feminina Puma Lemlem Bike,4.6,0.0,0.0,Puma,Poliamida,Feminino,Outono/Inverno,Sem comentários,Sem comentários,Sem comentários,0,209.99,636,116,3,0.001819008640291,0.8518518518518517,0.0,0.0,0.33953480440639816,0.02098695405558707
Roupa Festa Tik Tok Infantil Com Tiara Cinto E Corrente Neon,4.7,140.0,6.0,Estilo Fada,Indeterminado,Meninas,Não Definido,"Roupa ficou ótima o tamanho que comprei, minha filha fez 8 anos e eu pedi o tamanho 10:.
A qualidade do short que não é muito boa mas deu para usar direitinho.
O cinto veio desfiado.","Tamanho pequeno (comprar 2 númerosa mais), mas ótima qualidade recomendo.",A roupa é linda e de excelente qualidade! comprei dois tamanhos diferentes para minhas duas filhas e ficaram lindas.,1000,78.25,272,178,1,0.0009095043201455,0.888888888888889,0.015423598105100803,0.09090909090909091,0.11488353057535555,0.3828701077708451
Kit 8 Peças De Roupa Infantil Masculino 4 Camisas + 4 Shorts,4.4,388.0,10.0,Imperio Kids,Indeterminado,Bebês,Não Definido,Ótima roupas.,"Os tecidos são de excelente qualidade, recomendo.",Ficou perfeito peguei tamanho 3 meu filho tem 2 anos.,1000,112.82,364,178,1,0.0086402910413824,0.777777777777778,0.042745400462707944,0.15151515151515152,0.17383445312233553,0.3828701077708451
Cinto Porta Número E Gel Para Corrida - Ciacool,4.8,37.0,0.0,Ciacool,Indeterminado,Sem Gênero,Não Definido,"Ótimo, perfeito para o que eu precisava.",Material de boa qualidade. Simples e pratico.,Excelente.,500,36.9,182,178,1,0.0040927694406548,0.9259259259259259,0.004076236642062355,0.0,0.044370928685924765,0.3828701077708451
Calça Preta Ou Azul Uniforme Tactel 3 Bolsos,4.0,18.0,0.0,C. Surf,432261,Masculino,Primavera/Verão,"Gostei muito. Compensa demais. Tecido leve, bem costurado. Gostei.","Produto de baixa qualidade, tecido muito fraco, melhor comprar algo um pouco mais caro com tecido de melhor qualidade.","Perfeita , pelo preço é ótima, comprei pra usar em casa, adorei a minha.",1000,26.9,156,4,7,0.0045475216007276,0.6296296296296297,0.001983034042084389,0.0,0.027318304287029773,0.0005672149744753262
